Geo,Year,Latitude,Longitude
1,2005,45.47688492,-122.6585677
2,2005,45.4742129,-122.644246
3,2005,45.48410997,-122.6318696
4,2005,45.4700604,-122.6266581
5,2005,45.48347421,-122.6143307
6,2005,45.48316831,-122.6041021
7,2005,45.48219499,-122.5946323
8,2005,45.48369191,-122.584944
9,2005,45.48477618,-122.566615
10,2005,45.47476188,-122.5719618
11,2005,45.50138241,-122.5891129
12,2005,45.49390483,-122.5900752
13,2005,45.50136259,-122.6109034
14,2005,45.49382673,-122.6119769
15,2005,45.50097208,-122.6310044
16,2005,45.49377709,-122.6312441
17,2005,45.49792882,-122.6497075
18,2005,45.51578551,-122.6577785
19,2005,45.50863521,-122.6580901
20,2005,45.51571649,-122.644178
21,2005,45.50846842,-122.6442443
22,2005,45.51567036,-122.6288605
23,2005,45.50841386,-122.6287301
24,2005,45.51144225,-122.6176532
25,2005,45.51112543,-122.6068198
26,2005,45.51275351,-122.5903356
27,2005,45.51190736,-122.5721504
28,2005,45.52758081,-122.5866694
29,2005,45.52565173,-122.5732482
30,2005,45.5254213,-122.6049613
31,2005,45.51998288,-122.6075015
32,2005,45.52649962,-122.6239485
33,2005,45.52495082,-122.641668
34,2005,45.52309599,-122.6607175
35,2005,45.54346334,-122.6697252
36,2005,45.53434786,-122.6675267
37,2005,45.54374317,-122.6561752
38,2005,45.53404534,-122.6518957
39,2005,45.5435912,-122.6389898
40,2005,45.53497071,-122.6391572
41,2005,45.54153564,-122.6264273
42,2005,45.54347026,-122.6164654
43,2005,45.53475517,-122.6159509
44,2005,45.54355665,-122.6050424
45,2005,45.533832,-122.605298
46,2005,45.55144217,-122.5927378
47,2005,45.5413264,-122.5886663
48,2005,45.54306897,-122.5707194
49,2005,45.5547577,-122.6238875
50,2005,45.55547585,-122.6357942
51,2005,45.55532456,-122.645476
52,2005,45.55909929,-122.6556023
53,2005,45.55186834,-122.6559571
54,2005,45.55863073,-122.6682623
55,2005,45.55140112,-122.6702123
56,2005,45.55945225,-122.6859717
57,2005,45.55141476,-122.6828695
58,2005,45.57106527,-122.6559365
59,2005,45.56934722,-122.6409197
60,2005,45.56785613,-122.625366
61,2005,45.57632278,-122.6682363
62,2005,45.56632274,-122.6681612
63,2005,45.58117026,-122.6839846
64,2005,45.57352792,-122.6836241
65,2005,45.5662966,-122.684729
66,2005,45.58404746,-122.7041925
67,2005,45.57262396,-122.699769
68,2005,45.58791288,-122.7224292
69,2005,45.57658736,-122.7307584
70,2005,45.60462,-122.7578625
71,2005,45.58697634,-122.7438752
72,2005,45.59140156,-122.7614891
73,2005,45.5996158,-122.7983718
74,2005,45.53895783,-122.692813
75,2005,45.52110229,-122.7093827
76,2005,45.50982989,-122.702692
77,2005,45.52731591,-122.6997386
78,2005,45.52712129,-122.6949951
79,2005,45.52791435,-122.6914333
